Estructura;Tiempos;ID;SetDatos;etc
compressedDense;0;84341;subset100000;
compressedDense;0;46532;subset100000;
compressedDense;0;61616;subset100000;
compressedDense;0;1424;subset100000;
compressedDense;0;35349;subset100000;
compressedDense;0;17071;subset100000;
compressedDense;0;49023;subset100000;
compressedDense;0;91668;subset100000;
compressedDense;0;86576;subset100000;
compressedDense;0;49438;subset100000;
compressedDense;0;63499;subset100000;
compressedDense;0;22572;subset100000;
compressedDense;0;46411;subset100000;
compressedDense;0;51056;subset100000;
compressedDense;0;33391;subset100000;
compressedDense;0;80368;subset100000;
compressedDense;0;46902;subset100000;
compressedDense;0;66922;subset100000;
compressedDense;0;46055;subset100000;
compressedDense;0;61858;subset100000;
compressedDense;0;15366;subset100000;
compressedDense;0;24138;subset100000;
compressedDense;0;49058;subset100000;
compressedDense;0;23524;subset100000;
compressedDense;0;85013;subset100000;
compressedDense;0;49244;subset100000;
compressedDense;0;76615;subset100000;
compressedDense;0;20637;subset100000;
compressedDense;0;42349;subset100000;
compressedDense;0;61560;subset100000;
compressedDense;0;44882;subset100000;
compressedDense;0;84857;subset100000;
compressedDense;0;13214;subset100000;
compressedDense;0;91962;subset100000;
compressedDense;0;43352;subset100000;
compressedDense;0;41371;subset100000;
compressedDense;0;70499;subset100000;
compressedDense;0;47384;subset100000;
compressedDense;0;86195;subset100000;
compressedDense;0;46742;subset100000;
compressedDense;0;43180;subset100000;
compressedDense;0;76178;subset100000;
compressedDense;0;85851;subset100000;
compressedDense;0;84898;subset100000;
compressedDense;0;39694;subset100000;
compressedDense;0;15270;subset100000;
compressedDense;0;61597;subset100000;
compressedDense;0;90042;subset100000;
compressedDense;0;80415;subset100000;
compressedDense;0;84649;subset100000;
compressedDense;0;99212;subset100000;
compressedDense;0;12242;subset100000;
compressedDense;0;27470;subset100000;
compressedDense;0;14128;subset100000;
compressedDense;0;80621;subset100000;
compressedDense;0;7363;subset100000;
