Estructura;Tiempos;ID;SetDatos
compressedDense;0;7278467;subset10000000;
compressedDense;0;740455;subset10000000;
compressedDense;0;5226917;subset10000000;
compressedDense;0;8041144;subset10000000;
compressedDense;0;3686873;subset10000000;
compressedDense;0;2885306;subset10000000;
compressedDense;0;3350843;subset10000000;
compressedDense;0;3500366;subset10000000;
compressedDense;0;9500238;subset10000000;
compressedDense;0;3388476;subset10000000;
compressedDense;0;9507606;subset10000000;
compressedDense;0;6685952;subset10000000;
compressedDense;0;1342194;subset10000000;
compressedDense;0;6002185;subset10000000;
compressedDense;0;4284314;subset10000000;
compressedDense;0;3733262;subset10000000;
compressedDense;0;5242320;subset10000000;
compressedDense;0;789403;subset10000000;
compressedDense;0;8330869;subset10000000;
compressedDense;0;8775626;subset10000000;
compressedDense;0;5793524;subset10000000;
compressedDense;0;8681410;subset10000000;
compressedDense;0;2192722;subset10000000;
compressedDense;0;158648;subset10000000;
compressedDense;0;7813029;subset10000000;
compressedDense;0;1658014;subset10000000;
compressedDense;0;8247299;subset10000000;
compressedDense;0;9654883;subset10000000;
compressedDense;0;1143059;subset10000000;
compressedDense;0;2081786;subset10000000;
compressedDense;0;380101;subset10000000;
compressedDense;0;8671724;subset10000000;
compressedDense;0;8765594;subset10000000;
compressedDense;0;2650225;subset10000000;
compressedDense;0;7973564;subset10000000;
compressedDense;0;6922769;subset10000000;
compressedDense;0;1019734;subset10000000;
compressedDense;0;5959246;subset10000000;
compressedDense;1;5709661;subset10000000;
compressedDense;0;902973;subset10000000;
compressedDense;0;9729463;subset10000000;
compressedDense;0;5459135;subset10000000;
compressedDense;0;4323689;subset10000000;
compressedDense;0;9399722;subset10000000;
compressedDense;0;7378159;subset10000000;
compressedDense;0;7099749;subset10000000;
compressedDense;0;9310766;subset10000000;
compressedDense;0;7678965;subset10000000;
compressedDense;0;618547;subset10000000;
compressedDense;0;2616678;subset10000000;
compressedDense;0;3974595;subset10000000;
compressedDense;0;3746952;subset10000000;
compressedDense;0;3679131;subset10000000;
compressedDense;0;8520487;subset10000000;
compressedDense;0;3569535;subset10000000;
compressedDense;0;3560964;subset10000000;
compressedDense;0;1488870;subset10000000;
compressedDense;0;1743041;subset10000000;
compressedDense;0;909138;subset10000000;
compressedDense;0;2613122;subset10000000;
compressedDense;0;7149913;subset10000000;
compressedDense;0;1827836;subset10000000;
compressedDense;0;602194;subset10000000;
compressedDense;0;7737240;subset10000000;
compressedDense;0;44230;subset10000000;
compressedDense;0;1902133;subset10000000;
compressedDense;0;6366316;subset10000000;
compressedDense;0;8740816;subset10000000;
compressedDense;0;7464378;subset10000000;
compressedDense;0;1815572;subset10000000;
compressedDense;0;4380364;subset10000000;
compressedDense;0;4983025;subset10000000;
compressedDense;0;1013242;subset10000000;
compressedDense;0;182644;subset10000000;
compressedDense;0;4147688;subset10000000;
compressedDense;0;8984941;subset10000000;
compressedDense;0;2605914;subset10000000;
compressedDense;0;7350047;subset10000000;
compressedDense;0;7929119;subset10000000;
compressedDense;0;4859492;subset10000000;
compressedDense;0;8630461;subset10000000;
compressedDense;0;9137097;subset10000000;
compressedDense;0;299383;subset10000000;
compressedDense;0;9542429;subset10000000;
compressedDense;0;8486236;subset10000000;
compressedDense;0;1762723;subset10000000;
compressedDense;0;7190315;subset10000000;
compressedDense;0;9514188;subset10000000;
compressedDense;0;2712762;subset10000000;
compressedDense;0;2930814;subset10000000;
compressedDense;0;7273828;subset10000000;
compressedDense;0;8998701;subset10000000;
compressedDense;0;5583797;subset10000000;
compressedDense;0;9405155;subset10000000;
compressedDense;0;5688332;subset10000000;
compressedDense;0;4671639;subset10000000;
compressedDense;0;6021766;subset10000000;
compressedDense;0;3927496;subset10000000;
compressedDense;0;810145;subset10000000;
compressedDense;0;8946261;subset10000000;
compressedDense;0;7144911;subset10000000;
compressedDense;0;4101341;subset10000000;
compressedDense;0;5332629;subset10000000;
compressedDense;0;5192020;subset10000000;
compressedDense;0;1738268;subset10000000;
compressedDense;0;3221429;subset10000000;
compressedDense;0;9509849;subset10000000;
compressedDense;0;4880319;subset10000000;
compressedDense;0;8607793;subset10000000;
compressedDense;0;2757233;subset10000000;
compressedDense;0;6183668;subset10000000;
compressedDense;0;8631942;subset10000000;
compressedDense;0;466045;subset10000000;
compressedDense;0;6030913;subset10000000;
compressedDense;0;6668543;subset10000000;
compressedDense;0;7842578;subset10000000;
compressedDense;0;2249878;subset10000000;
compressedDense;0;1853973;subset10000000;
compressedDense;0;8301424;subset10000000;
compressedDense;0;9532138;subset10000000;
compressedDense;0;8713469;subset10000000;
compressedDense;0;978326;subset10000000;
compressedDense;0;2302821;subset10000000;
compressedDense;0;2946843;subset10000000;
compressedDense;0;1297587;subset10000000;
compressedDense;0;8265240;subset10000000;
compressedDense;0;794883;subset10000000;
compressedDense;0;2678595;subset10000000;
compressedDense;0;597123;subset10000000;
compressedDense;0;1575530;subset10000000;
compressedDense;0;8745962;subset10000000;
compressedDense;0;9147757;subset10000000;
compressedDense;0;8145017;subset10000000;
compressedDense;0;1897144;subset10000000;
compressedDense;0;7992872;subset10000000;
compressedDense;0;8686766;subset10000000;
compressedDense;0;6852017;subset10000000;
compressedDense;0;3647301;subset10000000;
compressedDense;0;2695260;subset10000000;
compressedDense;0;4813374;subset10000000;
compressedDense;0;9478699;subset10000000;
compressedDense;0;1237123;subset10000000;
compressedDense;0;6489775;subset10000000;
compressedDense;0;2557217;subset10000000;
compressedDense;0;7875892;subset10000000;
compressedDense;0;1306437;subset10000000;
compressedDense;0;5432863;subset10000000;
compressedDense;0;3719102;subset10000000;
compressedDense;0;1962142;subset10000000;
compressedDense;0;512779;subset10000000;
compressedDense;0;752015;subset10000000;
compressedDense;0;3780880;subset10000000;
compressedDense;0;3080220;subset10000000;
compressedDense;0;4484338;subset10000000;
compressedDense;0;6568372;subset10000000;
compressedDense;0;3327580;subset10000000;
compressedDense;0;9793471;subset10000000;
compressedDense;0;7483242;subset10000000;
compressedDense;0;4378998;subset10000000;
compressedDense;0;1178473;subset10000000;
compressedDense;0;1568487;subset10000000;
compressedDense;0;3451594;subset10000000;
compressedDense;0;6656175;subset10000000;
compressedDense;0;8592465;subset10000000;
compressedDense;0;2167518;subset10000000;
compressedDense;0;2329174;subset10000000;
compressedDense;0;7509319;subset10000000;
compressedDense;0;9291725;subset10000000;
compressedDense;0;6891693;subset10000000;
compressedDense;0;759373;subset10000000;
compressedDense;0;3932297;subset10000000;
compressedDense;0;8783962;subset10000000;
compressedDense;0;5046942;subset10000000;
compressedDense;0;2828224;subset10000000;
compressedDense;0;1142655;subset10000000;
